pointId,trip_id,previous_point,next_point,latitude,longitude,horizontal_accuracy,bearing,bearing_accuracy,elapsed_time,elapsed_time_uncertainty,speed,speed_accuracy,likelihood_score,time delta (s),expected distance,delta Lat (m),exp del lat,delta Long (m),exp del long,expected lat,expected long,lat dif,lon dif,lat dif (m),lon dif (m),error (m),111084.744024676,82079.5722664617
224,3,223,0,42.5941301,-83.0881798,13.2639999389648,257.765075683594,257.765075683594,149175654872069,0,1.09039974212646,0,0,1.464872069,1.59729612628585,-0.6887254131,-1.5610165811,-0.7058843216,-0.338499850366515,42.5941160,-83.0881839,-0.0000141,-0.0000041,-1.5610166,-0.338499850095001,1.59729612587453,,
225,3,224,0,42.5941228,-83.088189,13.2069997787476,256.706604003906,256.706604003906,149176768000000,0,1.07319343090057,0,0,1.113127931,1.19460158330114,-0.8109186314,-1.1625926905,-0.7551320643,-0.274683779800265,42.5941123,-83.0881923,-0.0000105,-0.0000033,-1.1625927,-0.274683780020961,1.19460158359737,,
226,3,225,0,42.5941044,-83.0882003,13.3240003585815,229.9404296875,229.9404296875,149178644000000,0,1.00753331184387,0,0,1.876,1.8901324930191,-2.0439592903,-1.4466615256,-0.9274991664,-1.21645849561083,42.5940914,-83.0882151,-0.0000130,-0.0000148,-1.4466615,-1.21645849505635,1.89013249259322,,
227,3,226,0,42.5940837,-83.088203,13.0129995346069,233.106597900391,233.106597900391,149180357000000,0,1.26525914669037,0,0,1.713,2.1673889182806,-2.2994542013,-1.7333775118,-0.2216148448,-1.30114454407469,42.5940681,-83.0882189,-0.0000156,-0.0000159,-1.7333775,-1.30114454420783,2.16738891835341,,
228,3,227,0,42.5940751,-83.0882084,12.9329996109009,233.118667602539,233.118667602539,149181606000000,0,1.2640517950058,0,0,1.249,1.57880069196224,-0.9553287987,-1.2628514758,-0.4432296908,-0.94753246644804,42.5940637,-83.0882199,-0.0000114,-0.0000115,-1.2628515,-0.947532465919438,1.57880069157307,,
229,3,228,0,42.5940653,-83.0882074,12.2959995269775,225.523742675781,225.523742675781,149182846000000,0,1.18600118160248,0,0,1.24,1.47064146518708,-1.0886304915,-1.0493627408,0.0820795721,-1.03035147270374,42.5940559,-83.0882200,-0.0000094,-0.0000126,-1.0493627,-1.03035147299705,1.47064146555914,,
230,3,229,0,42.594042,-83.0882077,11.7770004272461,224.14485168457,224.14485168457,149184445000000,0,1.16833567619324,0,0,1.599,1.86816874623299,-2.5882745352,-1.3011323408,-0.0246238714,-1.34056297732629,42.5940303,-83.0882240,-0.0000117,-0.0000163,-1.3011323,-1.34056297722492,1.8681687459896,,
231,3,230,0,42.59403,-83.0882138,11.8549995422363,232.195068359375,232.195068359375,149185631000000,0,1.16666495800018,0,0,1.186,1.38366464018821,-1.3330169281,-1.0932365517,-0.5006853914,-0.848151919553574,42.5940202,-83.0882241,-0.0000098,-0.0000103,-1.0932366,-0.848151920049516,1.38366464061984,,
232,3,231,0,42.5940119,-83.0882172,11.7559995651245,227.742721557617,227.742721557617,149186847000000,0,1.31111347675323,0,0,1.216,1.59431398773193,-2.0106338675,-1.1800039306,-0.2790705455,-1.0721137138143,42.5940013,-83.0882303,-0.0000106,-0.0000131,-1.1800039,-1.07211371328993,1.59431398729592,,
233,3,232,0,42.5939939,-83.0882221,11.8400001525879,226.628768920898,226.628768920898,149188029000000,0,1.16520583629608,0,0,1.182,1.37727329850197,-1.9995253921,-1.0011669201,-0.4021899036,-0.945804703295907,42.5939849,-83.0882336,-0.0000090,-0.0000115,-1.0011669,-0.945804703829606,1.37727329892185,,
